stage,d_um,compound,aerosol_type,nuclide,amad_used,e_sv_per_bq,conc_contrib,dose_sv,total_dose
Filter,0.22360679774997896,U3O8,Intermediate Type M/S,U-238,5.82,4.383771325221648e-06,0.25287499999999996,9.66926760554811e-07,0.00015547459440051585
Filter,0.22360679774997896,U3O8,Intermediate Type M/S,U-235,5.82,4.661864552864893e-06,0.044625,1.814586489107221e-07,0.00015547459440051585
Filter,0.22360679774997896,UO2,Intermediate Type M/S,U-238,5.82,4.383771325221648e-06,0.044625,1.706341342155549e-07,0.00015547459440051585
Filter,0.22360679774997896,UO2,Intermediate Type M/S,U-235,5.82,4.661864552864893e-06,0.007875,3.202211451365685e-08,0.00015547459440051585
A,32.63433774416144,U3O8,Intermediate Type M/S,U-238,粗峰14.73(w=1.000)+细峰3.52(w=0.000),3.968252247897224e-06,3.1262019230769225,5.820268819144951e-06,0.0001487078834240163
A,32.63433774416144,U3O8,Intermediate Type M/S,U-235,粗峰14.73(w=1.000)+细峰3.52(w=0.000),4.190334751150215e-06,0.5516826923076922,1.0952123956562278e-06,0.0001487078834240163
A,32.63433774416144,UO2,Intermediate Type M/S,U-238,粗峰14.73(w=1.000)+细峰3.52(w=0.000),3.968252247897224e-06,0.5516826923076922,1.0271062622020501e-06,0.0001487078834240163
A,32.63433774416144,UO2,Intermediate Type M/S,U-235,粗峰14.73(w=1.000)+细峰3.52(w=0.000),4.190334751150215e-06,0.09735576923076922,1.932727757040402e-07,0.0001487078834240163
B,17.75499929597295,U3O8,Intermediate Type M/S,U-238,粗峰14.73(w=0.999)+细峰3.52(w=0.001),3.968252247897224e-06,2.9847540983606557,5.5633162903785544e-06,0.0001487078834240163
B,17.75499929597295,U3O8,Intermediate Type M/S,U-235,粗峰14.73(w=0.999)+细峰3.52(w=0.001),4.190334751150215e-06,0.5267213114754098,1.0468352876811486e-06,0.0001487078834240163
B,17.75499929597295,UO2,Intermediate Type M/S,U-238,粗峰14.73(w=0.999)+细峰3.52(w=0.001),3.968252247897224e-06,0.5267213114754098,9.817616983020977e-07,0.0001487078834240163
B,17.75499929597295,UO2,Intermediate Type M/S,U-235,粗峰14.73(w=0.999)+细峰3.52(w=0.001),4.190334751150215e-06,0.09295081967213113,1.847356390025556e-07,0.0001487078834240163
C,12.043255373859678,U3O8,Intermediate Type M/S,U-238,粗峰14.73(w=0.982)+细峰3.52(w=0.018),3.968252247897224e-06,4.16826923076923,7.996731567963298e-06,0.0001487078834240163
C,12.043255373859678,U3O8,Intermediate Type M/S,U-235,粗峰14.73(w=0.982)+细峰3.52(w=0.018),4.190334751150215e-06,0.735576923076923,1.503807679845874e-06,0.0001487078834240163
C,12.043255373859678,UO2,Intermediate Type M/S,U-238,粗峰14.73(w=0.982)+细峰3.52(w=0.018),3.968252247897224e-06,0.735576923076923,1.411187923758229e-06,0.0001487078834240163
C,12.043255373859678,UO2,Intermediate Type M/S,U-235,粗峰14.73(w=0.982)+细峰3.52(w=0.018),4.190334751150215e-06,0.1298076923076923,2.6537782585515426e-07,0.0001487078834240163
D,7.6681158050723255,U3O8,Intermediate Type M/S,U-238,粗峰14.73(w=0.643)+细峰3.52(w=0.357),3.968252247897224e-06,3.4907303370786518,1.0323260458149578e-05,0.0001487078834240163
D,7.6681158050723255,U3O8,Intermediate Type M/S,U-235,粗峰14.73(w=0.643)+细峰3.52(w=0.357),4.190334751150215e-06,0.6160112359550561,1.9271092919890694e-06,0.0001487078834240163
D,7.6681158050723255,UO2,Intermediate Type M/S,U-238,粗峰14.73(w=0.643)+细峰3.52(w=0.357),3.968252247897224e-06,0.6160112359550561,1.8217518455558078e-06,0.0001487078834240163
D,7.6681158050723255,UO2,Intermediate Type M/S,U-235,粗峰14.73(w=0.643)+细峰3.52(w=0.357),4.190334751150215e-06,0.10870786516853932,3.400781103510122e-07,0.0001487078834240163
E,4.58257569495584,U3O8,Intermediate Type M/S,U-238,粗峰14.73(w=0.064)+细峰3.52(w=0.936),3.968252247897224e-06,7.1489473684210525,3.3871531010710116e-05,0.0001487078834240163
E,4.58257569495584,U3O8,Intermediate Type M/S,U-235,粗峰14.73(w=0.064)+细峰3.52(w=0.936),4.190334751150215e-06,1.261578947368421,6.290660151896966e-06,0.0001487078834240163
E,4.58257569495584,UO2,Intermediate Type M/S,U-238,粗峰14.73(w=0.064)+细峰3.52(w=0.936),3.968252247897224e-06,1.261578947368421,5.977329001890018e-06,0.0001487078834240163
E,4.58257569495584,UO2,Intermediate Type M/S,U-235,粗峰14.73(w=0.064)+细峰3.52(w=0.936),4.190334751150215e-06,0.2226315789473684,1.1101164973935823e-06,0.0001487078834240163
F,2.3664319132398464,U3O8,Intermediate Type M/S,U-238,粗峰14.73(w=0.003)+细峰3.52(w=0.997),3.968252247897224e-06,7.375520833333334,3.633647198507795e-05,0.0001487078834240163
F,2.3664319132398464,U3O8,Intermediate Type M/S,U-235,粗峰14.73(w=0.003)+细峰3.52(w=0.997),4.190334751150215e-06,1.3015625,6.746244315482083e-06,0.0001487078834240163
F,2.3664319132398464,UO2,Intermediate Type M/S,U-238,粗峰14.73(w=0.003)+细峰3.52(w=0.997),3.968252247897224e-06,1.3015625,6.412318585601991e-06,0.0001487078834240163
F,2.3664319132398464,UO2,Intermediate Type M/S,U-235,粗峰14.73(w=0.003)+细峰3.52(w=0.997),4.190334751150215e-06,0.2296875,1.1905137027321323e-06,0.0001487078834240163
G,1.2000000000000002,U3O8,Intermediate Type M/S,U-238,粗峰14.73(w=0.000)+细峰3.52(w=1.000),3.968252247897224e-06,0.826778350515464,4.07903551859705e-06,0.0001487078834240163
G,1.2000000000000002,U3O8,Intermediate Type M/S,U-235,粗峰14.73(w=0.000)+细峰3.52(w=1.000),4.190334751150215e-06,0.14590206185567012,7.573065554169805e-07,0.0001487078834240163
G,1.2000000000000002,UO2,Intermediate Type M/S,U-238,粗峰14.73(w=0.000)+细峰3.52(w=1.000),3.968252247897224e-06,0.14590206185567012,7.198297973994794e-07,0.0001487078834240163
G,1.2000000000000002,UO2,Intermediate Type M/S,U-235,粗峰14.73(w=0.000)+细峰3.52(w=1.000),4.190334751150215e-06,0.025747422680412375,1.3364233330887892e-07,0.0001487078834240163
H,0.6708203932499369,U3O8,Intermediate Type M/S,U-238,粗峰14.73(w=0.000)+细峰3.52(w=1.000),3.968252247897224e-06,0.2627272727272727,1.2963413811689247e-06,0.0001487078834240163
