Radionuclide	U-238
Route of Intake	Ingestion
Material	Soluble forms, fA=2E-2
AMTD/AMAD, µm	-

Committed Effective Dose per Predicted Content in an Organ or Excreta Sample (Dose per Content Functions z(t)), Sv/Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
130	5.2E-4	4.7E+0	3.2E-1	1.9E-1	5.6E-4	7.1E-2	1.6E+0
140	5.2E-4	4.8E+0	3.3E-1	1.9E-1	5.7E-4	7.1E-2	1.6E+0
150	5.3E-4	5.0E+0	3.4E-1	2.0E-1	5.8E-4	7.2E-2	1.6E+0
160	5.3E-4	5.1E+0	3.5E-1	2.0E-1	5.9E-4	7.3E-2	1.6E+0
170	5.4E-4	5.2E+0	3.6E-1	2.1E-1	6.0E-4	7.4E-2	1.6E+0
180	5.5E-4	5.3E+0	3.7E-1	2.2E-1	6.0E-4	7.5E-2	1.6E+0
190	5.6E-4	5.5E+0	3.8E-1	2.2E-1	6.1E-4	7.6E-2	1.6E+0
200	5.7E-4	5.6E+0	3.9E-1	2.3E-1	6.2E-4	7.6E-2	1.6E+0
210	5.7E-4	5.7E+0	4.0E-1	2.4E-1	6.3E-4	7.7E-2	1.7E+0
220	5.8E-4	5.8E+0	4.2E-1	2.4E-1	6.4E-4	7.8E-2	1.7E+0
230	5.9E-4	5.9E+0	4.3E-1	2.5E-1	6.5E-4	7.9E-2	1.7E+0
240	6.0E-4	6.0E+0	4.4E-1	2.6E-1	6.6E-4	7.9E-2	1.7E+0
250	6.1E-4	6.1E+0	4.6E-1	2.7E-1	6.7E-4	8.0E-2	1.7E+0
260	6.2E-4	6.2E+0	4.7E-1	2.7E-1	6.9E-4	8.0E-2	1.7E+0
270	6.3E-4	6.3E+0	4.9E-1	2.8E-1	7.0E-4	8.1E-2	1.7E+0
280	6.3E-4	6.4E+0	5.0E-1	2.9E-1	7.1E-4	8.1E-2	1.7E+0
290	6.4E-4	6.5E+0	5.2E-1	3.0E-1	7.2E-4	8.2E-2	1.7E+0
300	6.5E-4	6.6E+0	5.3E-1	3.1E-1	7.3E-4	8.2E-2	1.7E+0
310	6.6E-4	6.7E+0	5.5E-1	3.2E-1	7.4E-4	8.3E-2	1.7E+0
320	6.7E-4	6.8E+0	5.7E-1	3.3E-1	7.5E-4	8.3E-2	1.8E+0
330	6.8E-4	6.9E+0	5.9E-1	3.4E-1	7.6E-4	8.3E-2	1.8E+0
340	6.9E-4	7.0E+0	6.0E-1	3.5E-1	7.7E-4	8.4E-2	1.8E+0
350	6.9E-4	7.1E+0	6.2E-1	3.6E-1	7.8E-4	8.4E-2	1.8E+0
360	7.0E-4	7.2E+0	6.4E-1	3.7E-1	7.9E-4	8.4E-2	1.8E+0
365	7.1E-4	7.2E+0	6.5E-1	3.8E-1	8.0E-4	8.4E-2	1.8E+0
370	7.1E-4	7.3E+0	6.6E-1	3.8E-1	8.0E-4	8.4E-2	1.8E+0
380	7.2E-4	7.4E+0	6.8E-1	4.0E-1	8.1E-4	8.5E-2	1.8E+0
390	7.3E-4	7.5E+0	7.1E-1	4.1E-1	8.2E-4	8.5E-2	1.8E+0
400	7.3E-4	7.6E+0	7.3E-1	4.2E-1	8.3E-4	8.5E-2	1.8E+0
410	7.4E-4	7.6E+0	7.5E-1	4.3E-1	8.4E-4	8.5E-2	1.8E+0
420	7.5E-4	7.7E+0	7.7E-1	4.5E-1	8.5E-4	8.5E-2	1.8E+0
430	7.6E-4	7.8E+0	8.0E-1	4.6E-1	8.6E-4	8.5E-2	1.8E+0
440	7.7E-4	7.9E+0	8.2E-1	4.8E-1	8.7E-4	8.6E-2	1.8E+0
450	7.7E-4	8.0E+0	8.5E-1	4.9E-1	8.8E-4	8.6E-2	1.8E+0
460	7.8E-4	8.1E+0	8.8E-1	5.1E-1	8.9E-4	8.6E-2	1.8E+0
470	7.9E-4	8.2E+0	9.0E-1	5.2E-1	9.0E-4	8.6E-2	1.8E+0
480	8.0E-4	8.2E+0	9.3E-1	5.4E-1	9.1E-4	8.6E-2	1.8E+0
490	8.1E-4	8.3E+0	9.6E-1	5.6E-1	9.2E-4	8.6E-2	1.8E+0
500	8.1E-4	8.4E+0	9.9E-1	5.7E-1	9.3E-4	8.6E-2	1.8E+0
510	8.2E-4	8.5E+0	1.0E+0	5.9E-1	9.4E-4	8.6E-2	1.9E+0
520	8.3E-4	8.6E+0	1.1E+0	6.1E-1	9.5E-4	8.6E-2	1.9E+0
530	8.4E-4	8.6E+0	1.1E+0	6.3E-1	9.6E-4	8.6E-2	1.9E+0
540	8.4E-4	8.7E+0	1.1E+0	6.5E-1	9.7E-4	8.7E-2	1.9E+0
550	8.5E-4	8.8E+0	1.2E+0	6.7E-1	9.8E-4	8.7E-2	1.9E+0
560	8.6E-4	8.9E+0	1.2E+0	6.9E-1	9.9E-4	8.7E-2	1.9E+0
570	8.6E-4	8.9E+0	1.2E+0	7.1E-1	1.0E-3	8.7E-2	1.9E+0
580	8.7E-4	9.0E+0	1.3E+0	7.3E-1	1.0E-3	8.7E-2	1.9E+0
590	8.8E-4	9.1E+0	1.3E+0	7.5E-1	1.0E-3	8.7E-2	1.9E+0
600	8.8E-4	9.1E+0	1.4E+0	7.8E-1	1.0E-3	8.7E-2	1.9E+0
610	8.9E-4	9.2E+0	1.4E+0	8.0E-1	1.0E-3	8.7E-2	1.9E+0
620	9.0E-4	9.3E+0	1.4E+0	8.3E-1	1.0E-3	8.7E-2	1.9E+0
630	9.0E-4	9.3E+0	1.5E+0	8.5E-1	1.0E-3	8.7E-2	1.9E+0
640	9.1E-4	9.4E+0	1.5E+0	8.8E-1	1.1E-3	8.7E-2	1.9E+0
650	9.2E-4	9.5E+0	1.6E+0	9.1E-1	1.1E-3	8.7E-2	1.9E+0
660	9.2E-4	9.5E+0	1.6E+0	9.3E-1	1.1E-3	8.7E-2	1.9E+0
670	9.3E-4	9.6E+0	1.7E+0	9.6E-1	1.1E-3	8.7E-2	1.9E+0
680	9.3E-4	9.7E+0	1.7E+0	9.9E-1	1.1E-3	8.7E-2	1.9E+0
690	9.4E-4	9.7E+0	1.8E+0	1.0E+0	1.1E-3	8.7E-2	1.9E+0
700	9.5E-4	9.8E+0	1.8E+0	1.1E+0	1.1E-3	8.7E-2	1.9E+0
710	9.5E-4	9.9E+0	1.9E+0	1.1E+0	1.1E-3	8.7E-2	1.9E+0
720	9.6E-4	9.9E+0	2.0E+0	1.1E+0	1.1E-3	8.7E-2	1.9E+0
730	9.6E-4	1.0E+1	2.0E+0	1.2E+0	1.1E-3	8.7E-2	1.9E+0
740	9.7E-4	1.0E+1	2.1E+0	1.2E+0	1.1E-3	8.7E-2	1.9E+0
750	9.7E-4	1.0E+1	2.2E+0	1.2E+0	1.1E-3	8.7E-2	1.9E+0
760	9.8E-4	1.0E+1	2.2E+0	1.3E+0	1.1E-3	8.7E-2	1.9E+0
770	9.8E-4	1.0E+1	2.3E+0	1.3E+0	1.2E-3	8.7E-2	1.9E+0
780	9.9E-4	1.0E+1	2.4E+0	1.3E+0	1.2E-3	8.7E-2	1.9E+0
790	9.9E-4	1.0E+1	2.4E+0	1.4E+0	1.2E-3	8.7E-2	1.9E+0
800	1.0E-3	1.0E+1	2.5E+0	1.4E+0	1.2E-3	8.7E-2	1.9E+0
810	1.0E-3	1.0E+1	2.6E+0	1.5E+0	1.2E-3	8.7E-2	1.9E+0
820	1.0E-3	1.0E+1	2.7E+0	1.5E+0	1.2E-3	8.7E-2	1.9E+0
830	1.0E-3	1.1E+1	2.8E+0	1.6E+0	1.2E-3	8.7E-2	1.9E+0
840	1.0E-3	1.1E+1	2.8E+0	1.6E+0	1.2E-3	8.7E-2	1.9E+0
850	1.0E-3	1.1E+1	2.9E+0	1.7E+0	1.2E-3	8.7E-2	1.9E+0
860	1.0E-3	1.1E+1	3.0E+0	1.7E+0	1.2E-3	8.7E-2	1.9E+0
870	1.0E-3	1.1E+1	3.1E+0	1.8E+0	1.2E-3	8.7E-2	1.9E+0
880	1.0E-3	1.1E+1	3.2E+0	1.8E+0	1.2E-3	8.7E-2	1.9E+0
890	1.0E-3	1.1E+1	3.3E+0	1.9E+0	1.2E-3	8.7E-2	1.9E+0
900	1.0E-3	1.1E+1	3.4E+0	1.9E+0	1.2E-3	8.7E-2	1.9E+0
910	1.0E-3	1.1E+1	3.5E+0	2.0E+0	1.2E-3	8.7E-2	1.9E+0
920	1.1E-3	1.1E+1	3.6E+0	2.0E+0	1.2E-3	8.7E-2	1.9E+0
930	1.1E-3	1.1E+1	3.8E+0	2.1E+0	1.3E-3	8.7E-2	1.9E+0
940	1.1E-3	1.1E+1	3.9E+0	2.2E+0	1.3E-3	8.6E-2	1.9E+0
950	1.1E-3	1.1E+1	4.0E+0	2.2E+0	1.3E-3	8.6E-2	1.9E+0
960	1.1E-3	1.1E+1	4.1E+0	2.3E+0	1.3E-3	8.6E-2	1.9E+0
970	1.1E-3	1.1E+1	4.3E+0	2.4E+0	1.3E-3	8.6E-2	1.9E+0
980	1.1E-3	1.1E+1	4.4E+0	2.4E+0	1.3E-3	8.6E-2	1.9E+0
990	1.1E-3	1.1E+1	4.5E+0	2.5E+0	1.3E-3	8.6E-2	1.9E+0
1000	1.1E-3	1.1E+1	4.7E+0	2.6E+0	1.3E-3	8.6E-2	1.9E+0
1010	1.1E-3	1.1E+1	4.8E+0	2.7E+0	1.3E-3	8.6E-2	1.9E+0
1020	1.1E-3	1.1E+1	5.0E+0	2.7E+0	1.3E-3	8.6E-2	1.9E+0
1030	1.1E-3	1.1E+1	5.1E+0	2.8E+0	1.3E-3	8.6E-2	1.9E+0
1040	1.1E-3	1.1E+1	5.3E+0	2.9E+0	1.3E-3	8.6E-2	1.9E+0
1050	1.1E-3	1.1E+1	5.4E+0	3.0E+0	1.3E-3	8.6E-2	1.9E+0
1060	1.1E-3	1.1E+1	5.6E+0	3.1E+0	1.3E-3	8.6E-2	1.9E+0
1070	1.1E-3	1.1E+1	5.8E+0	3.2E+0	1.3E-3	8.6E-2	1.9E+0
1080	1.1E-3	1.2E+1	6.0E+0	3.3E+0	1.3E-3	8.6E-2	1.9E+0
1090	1.1E-3	1.2E+1	6.2E+0	3.4E+0	1.3E-3	8.6E-2	1.9E+0
1095	1.1E-3	1.2E+1	6.3E+0	3.4E+0	1.3E-3	8.6E-2	1.9E+0
1100	1.1E-3	1.2E+1	6.4E+0	3.5E+0	1.3E-3	8.6E-2	1.9E+0
1200	1.1E-3	1.2E+1	8.7E+0	4.6E+0	1.4E-3	8.5E-2	1.9E+0
1300	1.2E-3	1.2E+1	1.2E+1	6.1E+0	1.4E-3	8.5E-2	1.9E+0
1400	1.2E-3	1.2E+1	1.6E+1	8.0E+0	1.4E-3	8.4E-2	1.9E+0
1500	1.2E-3	1.3E+1	2.2E+1	1.0E+1	1.5E-3	8.4E-2	1.8E+0
1600	1.2E-3	1.3E+1	3.0E+1	1.3E+1	1.5E-3	8.3E-2	1.8E+0
1700	1.2E-3	1.3E+1	4.0E+1	1.6E+1	1.5E-3	8.3E-2	1.8E+0
1800	1.3E-3	1.3E+1	5.4E+1	2.0E+1	1.5E-3	8.2E-2	1.8E+0
1900	1.3E-3	1.3E+1	7.3E+1	2.4E+1	1.5E-3	8.2E-2	1.8E+0
2000	1.3E-3	1.3E+1	9.9E+1	2.8E+1	1.6E-3	8.1E-2	1.8E+0
2100	1.3E-3	1.4E+1	1.3E+2	3.1E+1	1.6E-3	8.1E-2	1.8E+0
2200	1.3E-3	1.4E+1	1.8E+2	3.5E+1	1.6E-3	8.1E-2	1.8E+0
2300	1.3E-3	1.4E+1	2.3E+2	3.8E+1	1.6E-3	8.0E-2	1.8E+0
2400	1.3E-3	1.4E+1	3.1E+2	4.1E+1	1.6E-3	8.0E-2	1.7E+0
2500	1.4E-3	1.4E+1	4.0E+2	4.3E+1	1.6E-3	8.0E-2	1.7E+0
2600	1.4E-3	1.4E+1	5.1E+2	4.5E+1	1.7E-3	7.9E-2	1.7E+0
2700	1.4E-3	1.4E+1	6.4E+2	4.6E+1	1.7E-3	7.9E-2	1.7E+0
2800	1.4E-3	1.5E+1	7.9E+2	4.7E+1	1.7E-3	7.9E-2	1.7E+0
2900	1.4E-3	1.5E+1	9.6E+2	4.8E+1	1.7E-3	7.8E-2	1.7E+0
3000	1.4E-3	1.5E+1	1.1E+3	4.8E+1	1.7E-3	7.8E-2	1.7E+0
3100	1.4E-3	1.5E+1	1.3E+3	4.9E+1	1.8E-3	7.8E-2	1.7E+0
3200	1.5E-3	1.5E+1	1.5E+3	4.9E+1	1.8E-3	7.8E-2	1.7E+0
3300	1.5E-3	1.5E+1	1.6E+3	4.9E+1	1.8E-3	7.7E-2	1.7E+0
3400	1.5E-3	1.5E+1	1.8E+3	5.0E+1	1.8E-3	7.7E-2	1.7E+0
3500	1.5E-3	1.6E+1	1.9E+3	5.0E+1	1.8E-3	7.7E-2	1.7E+0
3600	1.5E-3	1.6E+1	2.0E+3	5.0E+1	1.8E-3	7.7E-2	1.7E+0
3650	1.5E-3	1.6E+1	2.1E+3	5.0E+1	1.8E-3	7.7E-2	1.7E+0
4000	1.6E-3	1.6E+1	2.3E+3	5.0E+1	1.9E-3	7.6E-2	1.7E+0
5000	1.7E-3	1.8E+1	2.7E+3	5.0E+1	2.1E-3	7.5E-2	1.7E+0
6000	1.9E-3	2.0E+1	3.0E+3	5.0E+1	2.3E-3	7.5E-2	1.7E+0
7000	2.1E-3	2.2E+1	3.3E+3	5.0E+1	2.6E-3	7.5E-2	1.7E+0
8000	2.3E-3	2.4E+1	3.6E+3	5.0E+1	2.9E-3	7.6E-2	1.7E+0
9000	2.6E-3	2.7E+1	4.0E+3	5.0E+1	3.2E-3	7.8E-2	1.8E+0
10000	2.8E-3	2.9E+1	4.4E+3	5.1E+1	3.5E-3	7.9E-2	1.9E+0
11000	3.1E-3	3.2E+1	4.9E+3	5.1E+1	3.9E-3	8.1E-2	1.9E+0
12000	3.4E-3	3.6E+1	5.4E+3	5.1E+1	4.3E-3	8.3E-2	2.0E+0
13000	3.8E-3	3.9E+1	5.9E+3	5.2E+1	4.7E-3	8.6E-2	2.1E+0
14000	4.1E-3	4.3E+1	6.5E+3	5.2E+1	5.2E-3	8.9E-2	2.2E+0
15000	4.6E-3	4.8E+1	7.2E+3	5.3E+1	5.8E-3	9.2E-2	2.4E+0
16000	5.0E-3	5.3E+1	7.9E+3	5.3E+1	6.4E-3	9.5E-2	2.5E+0
17000	5.5E-3	5.8E+1	8.8E+3	5.4E+1	7.0E-3	9.9E-2	2.6E+0
18000	6.1E-3	6.4E+1	9.7E+3	5.5E+1	7.8E-3	1.0E-1	2.7E+0
18250	6.2E-3	6.6E+1	9.9E+3	5.5E+1	8.0E-3	1.0E-1	2.8E+0
Radionuclide	U-238
Route of Intake	Inhalation
Material	Aerosols Intermediate Type F/M: Uranyl nitrate, uranium peroxide hydrate, ammonium diuranate, uranium trioxide, fA=1.6E-2
AMTD/AMAD, µm	0.001

Committed Effective Dose per Predicted Content in an Organ or Excreta Sample (Dose per Content Functions z(t)), Sv/Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Lungs* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	9.9E-4	-	-	3.0E-3	6.4E-3	1.2E+0	1.5E+0
0.083333	5.0E-4	-	-	1.3E-3	3.8E-3	3.1E-1	5.3E-1
0.125	3.4E-4	-	-	7.8E-4	2.8E-3	1.4E-1	2.9E-1
0.25	1.7E-4	-	-	3.2E-4	1.8E-3	3.6E-2	1.1E-1
0.375	1.2E-4	-	-	2.0E-4	1.4E-3	1.6E-2	6.3E-2
0.5	9.3E-5	-	-	1.4E-4	1.2E-3	9.5E-3	4.3E-2
0.625	7.7E-5	-	-	1.1E-4	1.1E-3	6.3E-3	3.3E-2
0.75	6.7E-5	-	-	8.9E-5	1.0E-3	4.5E-3	2.6E-2
0.875	6.0E-5	-	-	7.7E-5	9.7E-4	3.5E-3	2.2E-2
1	5.6E-5	2.8E-5	1.1E-5	7.0E-5	9.4E-4	2.8E-3	1.9E-2
1.125	5.3E-5	-	-	6.5E-5	9.2E-4	2.3E-3	1.7E-2
1.25	5.1E-5	-	-	6.2E-5	9.1E-4	2.0E-3	1.5E-2
1.375	5.0E-5	-	-	6.0E-5	9.1E-4	1.7E-3	1.4E-2
1.5	4.9E-5	-	-	6.0E-5	9.1E-4	1.5E-3	1.3E-2
1.625	5.0E-5	-	-	6.0E-5	9.1E-4	1.3E-3	1.2E-2
1.75	5.1E-5	-	-	6.2E-5	9.2E-4	1.2E-3	1.1E-2
1.875	5.2E-5	-	-	6.4E-5	9.2E-4	1.1E-3	1.0E-2
2	5.4E-5	7.7E-5	3.6E-6	6.7E-5	9.3E-4	1.0E-3	9.8E-3
2.25	5.9E-5	-	-	7.5E-5	9.5E-4	8.9E-4	8.8E-3
2.5	6.6E-5	-	-	8.7E-5	9.6E-4	7.9E-4	8.1E-3
2.75	7.4E-5	-	-	1.0E-4	9.8E-4	7.2E-4	7.5E-3
3	8.4E-5	2.1E-4	5.6E-6	1.3E-4	9.9E-4	6.6E-4	7.0E-3
3.25	9.5E-5	-	-	1.6E-4	1.0E-3	6.1E-4	6.6E-3
3.5	1.1E-4	-	-	2.0E-4	1.0E-3	5.7E-4	6.3E-3
3.75	1.2E-4	-	-	2.5E-4	1.0E-3	5.3E-4	5.9E-3
4	1.3E-4	4.1E-4	1.5E-5	3.2E-4	1.0E-3	5.0E-4	5.7E-3
4.25	1.4E-4	-	-	4.1E-4	1.0E-3	4.8E-4	5.4E-3
4.5	1.5E-4	-	-	5.3E-4	1.0E-3	4.6E-4	5.2E-3
4.75	1.5E-4	-	-	6.7E-4	1.1E-3	4.4E-4	5.0E-3
5	1.6E-4	6.1E-4	4.8E-5	8.4E-4	1.1E-3	4.2E-4	4.8E-3
5.5	1.6E-4	-	-	1.3E-3	1.1E-3	3.9E-4	4.5E-3
6	1.6E-4	7.6E-4	1.6E-4	1.7E-3	1.1E-3	3.7E-4	4.3E-3
6.5	1.6E-4	-	-	2.2E-3	1.1E-3	3.5E-4	4.1E-3
7	1.5E-4	8.7E-4	4.3E-4	2.6E-3	1.2E-3	3.3E-4	3.9E-3
7.5	1.5E-4	-	-	2.8E-3	1.2E-3	3.1E-4	3.7E-3
8	1.5E-4	9.8E-4	7.9E-4	3.1E-3	1.2E-3	3.0E-4	3.6E-3
8.5	1.4E-4	-	-	3.3E-3	1.3E-3	2.9E-4	3.5E-3
9	1.4E-4	1.1E-3	1.1E-3	3.5E-3	1.3E-3	2.8E-4	3.3E-3
9.5	1.4E-4	-	-	3.7E-3	1.4E-3	2.7E-4	3.3E-3
10	1.4E-4	1.2E-3	1.5E-3	4.0E-3	1.4E-3	2.6E-4	3.2E-3
11	1.3E-4	1.3E-3	1.8E-3	4.5E-3	1.5E-3	2.4E-4	3.0E-3
12	1.3E-4	1.4E-3	2.2E-3	5.0E-3	1.7E-3	2.3E-4	2.9E-3
13	1.3E-4	1.5E-3	2.8E-3	5.7E-3	1.8E-3	2.2E-4	2.8E-3
14	1.3E-4	1.6E-3	3.4E-3	6.5E-3	1.9E-3	2.1E-4	2.7E-3
15	1.2E-4	1.8E-3	4.2E-3	7.5E-3	2.1E-3	2.0E-4	2.7E-3
16	1.2E-4	1.9E-3	5.2E-3	8.5E-3	2.2E-3	2.0E-4	2.6E-3
17	1.2E-4	2.1E-3	6.3E-3	9.8E-3	2.4E-3	1.9E-4	2.6E-3
18	1.2E-4	2.2E-3	7.8E-3	1.1E-2	2.5E-3	1.9E-4	2.5E-3
19	1.2E-4	2.4E-3	9.6E-3	1.3E-2	2.6E-3	1.8E-4	2.5E-3
20	1.2E-4	2.6E-3	1.2E-2	1.4E-2	2.7E-3	1.8E-4	2.5E-3
21	1.2E-4	2.8E-3	1.4E-2	1.6E-2	2.8E-3	1.7E-4	2.5E-3
22	1.2E-4	3.0E-3	1.8E-2	1.8E-2	2.9E-3	1.7E-4	2.5E-3
23	1.2E-4	3.2E-3	2.2E-2	2.1E-2	2.9E-3	1.7E-4	2.5E-3
24	1.1E-4	3.4E-3	2.6E-2	2.3E-2	3.0E-3	1.7E-4	2.5E-3
25	1.1E-4	3.6E-3	3.2E-2	2.6E-2	3.1E-3	1.6E-4	2.5E-3
26	1.1E-4	3.8E-3	3.9E-2	2.8E-2	3.1E-3	1.6E-4	2.5E-3
27	1.1E-4	4.0E-3	4.8E-2	3.1E-2	3.1E-3	1.6E-4	2.5E-3
28	1.1E-4	4.3E-3	5.8E-2	3.3E-2	3.1E-3	1.6E-4	2.5E-3
29	1.1E-4	4.5E-3	7.0E-2	3.6E-2	3.2E-3	1.5E-4	2.5E-3
30	1.1E-4	4.8E-3	8.4E-2	3.9E-2	3.2E-3	1.5E-4	2.5E-3
31	1.1E-4	5.0E-3	1.0E-1	4.1E-2	3.2E-3	1.5E-4	2.5E-3
32	1.1E-4	5.3E-3	1.2E-1	4.4E-2	3.2E-3	1.5E-4	2.5E-3
33	1.1E-4	5.6E-3	1.4E-1	4.6E-2	3.2E-3	1.5E-4	2.5E-3
34	1.1E-4	5.8E-3	1.7E-1	4.9E-2	3.2E-3	1.5E-4	2.5E-3
35	1.1E-4	6.1E-3	1.9E-1	5.1E-2	3.2E-3	1.5E-4	2.6E-3
36	1.1E-4	6.4E-3	2.2E-1	5.3E-2	3.2E-3	1.5E-4	2.6E-3
37	1.1E-4	6.7E-3	2.6E-1	5.5E-2	3.2E-3	1.5E-4	2.6E-3
38	1.1E-4	7.0E-3	2.9E-1	5.6E-2	3.2E-3	1.5E-4	2.6E-3
39	1.1E-4	7.3E-3	3.3E-1	5.8E-2	3.2E-3	1.4E-4	2.6E-3
40	1.1E-4	7.6E-3	3.7E-1	6.0E-2	3.2E-3	1.4E-4	2.7E-3
41	1.1E-4	7.9E-3	4.1E-1	6.1E-2	3.2E-3	1.4E-4	2.7E-3
42	1.1E-4	8.2E-3	4.5E-1	6.3E-2	3.2E-3	1.4E-4	2.7E-3
43	1.1E-4	8.5E-3	4.9E-1	6.4E-2	3.2E-3	1.4E-4	2.7E-3
44	1.1E-4	8.8E-3	5.2E-1	6.6E-2	3.2E-3	1.4E-4	2.8E-3
45	1.1E-4	9.2E-3	5.6E-1	6.7E-2	3.2E-3	1.4E-4	2.8E-3
46	1.1E-4	9.5E-3	6.0E-1	6.8E-2	3.2E-3	1.4E-4	2.8E-3
47	1.1E-4	9.8E-3	6.3E-1	6.9E-2	3.2E-3	1.4E-4	2.9E-3
48	1.1E-4	1.0E-2	6.6E-1	7.1E-2	3.2E-3	1.4E-4	2.9E-3
49	1.1E-4	1.0E-2	7.0E-1	7.2E-2	3.2E-3	1.4E-4	2.9E-3
50	1.1E-4	1.1E-2	7.2E-1	7.3E-2	3.3E-3	1.4E-4	2.9E-3
51	1.2E-4	1.1E-2	7.5E-1	7.4E-2	3.3E-3	1.4E-4	3.0E-3
52	1.2E-4	1.1E-2	7.8E-1	7.6E-2	3.3E-3	1.4E-4	3.0E-3
53	1.2E-4	1.2E-2	8.0E-1	7.7E-2	3.3E-3	1.4E-4	3.0E-3
54	1.2E-4	1.2E-2	8.2E-1	7.8E-2	3.3E-3	1.4E-4	3.1E-3
55	1.2E-4	1.2E-2	8.5E-1	7.9E-2	3.3E-3	1.4E-4	3.1E-3
56	1.2E-4	1.3E-2	8.7E-1	8.0E-2	3.3E-3	1.4E-4	3.1E-3
57	1.2E-4	1.3E-2	8.9E-1	8.2E-2	3.4E-3	1.4E-4	3.2E-3
58	1.2E-4	1.4E-2	9.1E-1	8.3E-2	3.4E-3	1.4E-4	3.2E-3
59	1.2E-4	1.4E-2	9.3E-1	8.4E-2	3.4E-3	1.4E-4	3.2E-3
60	1.2E-4	1.4E-2	9.5E-1	8.6E-2	3.4E-3	1.4E-4	3.3E-3
61	1.2E-4	1.5E-2	9.6E-1	8.7E-2	3.4E-3	1.4E-4	3.3E-3
62	1.2E-4	1.5E-2	9.8E-1	8.8E-2	3.5E-3	1.4E-4	3.4E-3
63	1.2E-4	1.5E-2	1.0E+0	9.0E-2	3.5E-3	1.4E-4	3.4E-3
64	1.2E-4	1.6E-2	1.0E+0	9.1E-2	3.5E-3	1.4E-4	3.4E-3
65	1.2E-4	1.6E-2	1.0E+0	9.2E-2	3.5E-3	1.4E-4	3.5E-3
66	1.2E-4	1.6E-2	1.1E+0	9.4E-2	3.5E-3	1.4E-4	3.5E-3
67	1.2E-4	1.7E-2	1.1E+0	9.5E-2	3.6E-3	1.4E-4	3.5E-3
68	1.2E-4	1.7E-2	1.1E+0	9.6E-2	3.6E-3	1.5E-4	3.6E-3
69	1.2E-4	1.8E-2	1.1E+0	9.8E-2	3.6E-3	1.5E-4	3.6E-3
70	1.2E-4	1.8E-2	1.1E+0	9.9E-2	3.6E-3	1.5E-4	3.7E-3
71	1.3E-4	1.8E-2	1.1E+0	1.0E-1	3.7E-3	1.5E-4	3.7E-3
72	1.3E-4	1.9E-2	1.2E+0	1.0E-1	3.7E-3	1.5E-4	3.7E-3
73	1.3E-4	1.9E-2	1.2E+0	1.0E-1	3.7E-3	1.5E-4	3.8E-3
74	1.3E-4	1.9E-2	1.2E+0	1.1E-1	3.8E-3	1.5E-4	3.8E-3
75	1.3E-4	2.0E-2	1.2E+0	1.1E-1	3.8E-3	1.5E-4	3.9E-3
76	1.3E-4	2.0E-2	1.2E+0	1.1E-1	3.8E-3	1.5E-4	3.9E-3
77	1.3E-4	2.1E-2	1.3E+0	1.1E-1	3.9E-3	1.5E-4	3.9E-3
78	1.3E-4	2.1E-2	1.3E+0	1.1E-1	3.9E-3	1.5E-4	4.0E-3
79	1.3E-4	2.2E-2	1.3E+0	1.1E-1	3.9E-3	1.5E-4	4.0E-3
80	1.3E-4	2.2E-2	1.3E+0	1.2E-1	4.0E-3	1.5E-4	4.1E-3
81	1.3E-4	2.2E-2	1.3E+0	1.2E-1	4.0E-3	1.5E-4	4.1E-3
82	1.3E-4	2.3E-2	1.4E+0	1.2E-1	4.0E-3	1.5E-4	4.1E-3
83	1.3E-4	2.3E-2	1.4E+0	1.2E-1	4.1E-3	1.5E-4	4.2E-3
84	1.3E-4	2.4E-2	1.4E+0	1.2E-1	4.1E-3	1.5E-4	4.2E-3
85	1.3E-4	2.4E-2	1.4E+0	1.2E-1	4.1E-3	1.5E-4	4.3E-3
86	1.3E-4	2.5E-2	1.4E+0	1.3E-1	4.2E-3	1.6E-4	4.3E-3
87	1.4E-4	2.5E-2	1.5E+0	1.3E-1	4.2E-3	1.6E-4	4.3E-3
88	1.4E-4	2.6E-2	1.5E+0	1.3E-1	4.2E-3	1.6E-4	4.4E-3
89	1.4E-4	2.6E-2	1.5E+0	1.3E-1	4.3E-3	1.6E-4	4.4E-3
90	1.4E-4	2.6E-2	1.5E+0	1.3E-1	4.3E-3	1.6E-4	4.5E-3
91	1.4E-4	2.7E-2	1.6E+0	1.3E-1	4.4E-3	1.6E-4	4.5E-3
92	1.4E-4	2.7E-2	1.6E+0	1.4E-1	4.4E-3	1.6E-4	4.5E-3
93	1.4E-4	2.8E-2	1.6E+0	1.4E-1	4.4E-3	1.6E-4	4.6E-3
94	1.4E-4	2.8E-2	1.6E+0	1.4E-1	4.5E-3	1.6E-4	4.6E-3
95	1.4E-4	2.9E-2	1.6E+0	1.4E-1	4.5E-3	1.6E-4	4.7E-3
96	1.4E-4	2.9E-2	1.7E+0	1.4E-1	4.6E-3	1.6E-4	4.7E-3
97	1.4E-4	3.0E-2	1.7E+0	1.5E-1	4.6E-3	1.6E-4	4.8E-3
